step_or_iteration,tag,value
20,selfplay/num_positions,38125.0
21,selfplay/num_positions,38367.0
22,selfplay/num_positions,38445.0
23,selfplay/num_positions,38522.0
24,selfplay/num_positions,38563.0
10,train/grad_norm,1.1046664714813232
20,train/grad_norm,4.634453773498535
30,train/grad_norm,2.3386175632476807
40,train/grad_norm,2.7465362548828125
50,train/grad_norm,2.054482936859131
60,train/grad_norm,0.5268387198448181
70,train/grad_norm,1.5405075550079346
80,train/grad_norm,1.8058043718338013
90,train/grad_norm,1.8917838335037231
100,train/grad_norm,1.1658474206924438
110,train/grad_norm,0.8282762765884399
120,train/grad_norm,0.9468488097190857
130,train/grad_norm,1.1888434886932373
140,train/grad_norm,0.7069717645645142
150,train/grad_norm,0.9292909502983093
160,train/grad_norm,0.9668287634849548
170,train/grad_norm,0.8913280367851257
180,train/grad_norm,0.7045449018478394
190,train/grad_norm,0.7704845070838928
200,train/grad_norm,1.4618984460830688
210,train/grad_norm,1.0690838098526
220,train/grad_norm,0.3766533136367798
230,train/grad_norm,0.9554938077926636
240,train/grad_norm,0.9347158670425415
250,train/grad_norm,0.682135820388794
260,train/grad_norm,0.9195312261581421
270,train/grad_norm,0.7280868887901306
280,train/grad_norm,0.49224501848220825
290,train/grad_norm,1.2739112377166748
300,train/grad_norm,0.5755538940429688
310,train/grad_norm,0.646660566329956
320,train/grad_norm,0.3693093955516815
330,train/grad_norm,0.9565118551254272
340,train/grad_norm,0.5635829567909241
350,train/grad_norm,0.5785194635391235
360,train/grad_norm,0.7413257360458374
370,train/grad_norm,0.5114089250564575
380,train/grad_norm,0.5242207050323486
390,train/grad_norm,0.5874817371368408
400,train/grad_norm,0.6310054063796997
410,train/grad_norm,0.5722991228103638
420,train/grad_norm,1.0129144191741943
430,train/grad_norm,0.7539207339286804
440,train/grad_norm,0.5228493809700012
450,train/grad_norm,0.6129945516586304
460,train/grad_norm,0.7033568620681763
470,train/grad_norm,0.294344961643219
480,train/grad_norm,0.5850725769996643
490,train/grad_norm,0.5382216572761536
500,train/grad_norm,0.4102373719215393
510,train/grad_norm,0.649780809879303
520,train/grad_norm,0.4317692816257477
530,train/grad_norm,0.38171106576919556
540,train/grad_norm,0.8053386807441711
550,train/grad_norm,0.4823850691318512
560,train/grad_norm,0.477660208940506
570,train/grad_norm,0.52898770570755
580,train/grad_norm,0.6065089106559753
590,train/grad_norm,0.38557249307632446
600,train/grad_norm,0.5908107757568359
610,train/grad_norm,0.3369964063167572
620,train/grad_norm,0.3116113543510437
630,train/grad_norm,0.49505335092544556
640,train/grad_norm,0.904358983039856
650,train/grad_norm,0.42127785086631775
660,train/grad_norm,0.33519622683525085
670,train/grad_norm,0.8982135057449341
680,train/grad_norm,0.5757111310958862
690,train/grad_norm,0.3398321866989136
700,train/grad_norm,0.5979081392288208
710,train/grad_norm,0.7182493805885315
720,train/grad_norm,0.41806623339653015
730,train/grad_norm,0.713516354560852
740,train/grad_norm,0.6570569276809692
750,train/grad_norm,0.49695003032684326
760,train/grad_norm,0.35259655117988586
770,train/grad_norm,0.5502359867095947
780,train/grad_norm,0.7491753101348877
790,train/grad_norm,0.6209413409233093
800,train/grad_norm,0.3123970925807953
810,train/grad_norm,0.3790951669216156
820,train/grad_norm,0.6903320550918579
830,train/grad_norm,0.49154338240623474
840,train/grad_norm,0.7544222474098206
850,train/grad_norm,0.7304858565330505
860,train/grad_norm,0.5176826119422913
870,train/grad_norm,0.4741305112838745
880,train/grad_norm,0.5412998199462891
890,train/grad_norm,0.7655775547027588
900,train/grad_norm,0.4250042736530304
910,train/grad_norm,0.38218438625335693
920,train/grad_norm,0.7135185599327087
930,train/grad_norm,1.0448276996612549
940,train/grad_norm,0.6658167839050293
950,train/grad_norm,0.49109652638435364
960,train/grad_norm,0.4747876226902008
970,train/grad_norm,0.9160178899765015
980,train/grad_norm,0.3470780849456787
990,train/grad_norm,0.578271746635437
1000,train/grad_norm,0.5265417695045471
1010,train/grad_norm,0.7554534077644348
1020,train/grad_norm,0.21404996514320374
1030,train/grad_norm,0.3297586143016815
1040,train/grad_norm,0.8799495100975037
1050,train/grad_norm,0.4491186738014221
1060,train/grad_norm,0.5569629073143005
1070,train/grad_norm,0.3227986693382263
1080,train/grad_norm,0.7951062917709351
1090,train/grad_norm,0.5813215374946594
1100,train/grad_norm,0.4036625325679779
1110,train/grad_norm,0.6491222381591797
1120,train/grad_norm,0.3398377299308777
1130,train/grad_norm,0.33886632323265076
1140,train/grad_norm,0.6121038794517517
1150,train/grad_norm,0.2586330473423004
1160,train/grad_norm,0.6245611906051636
1170,train/grad_norm,0.8595530986785889
1180,train/grad_norm,0.5453559756278992
1190,train/grad_norm,0.5464463829994202
1200,train/grad_norm,0.44035300612449646
1210,train/grad_norm,0.5723829865455627
1220,train/grad_norm,0.45520469546318054
1230,train/grad_norm,0.6487166285514832
1240,train/grad_norm,0.9263741970062256
1250,train/grad_norm,0.35274505615234375
1260,train/grad_norm,1.0755070447921753
1270,train/grad_norm,0.43279746174812317
1280,train/grad_norm,0.41312411427497864
1290,train/grad_norm,0.21930031478405
1300,train/grad_norm,0.3325749337673187
1310,train/grad_norm,0.33490023016929626
1320,train/grad_norm,0.30964088439941406
1330,train/grad_norm,0.2794974744319916
1340,train/grad_norm,0.36965346336364746
1350,train/grad_norm,0.2771374583244324
1360,train/grad_norm,0.3842873275279999
1370,train/grad_norm,0.6199421882629395
1380,train/grad_norm,0.6051895022392273
1390,train/grad_norm,0.24999694526195526
1400,train/grad_norm,0.41798919439315796
1410,train/grad_norm,0.3416811525821686
1420,train/grad_norm,0.38668912649154663
1430,train/grad_norm,0.3697690963745117
1440,train/grad_norm,0.9079472422599792
1450,train/grad_norm,0.41115802526474
1460,train/grad_norm,0.4065838158130646
1470,train/grad_norm,0.5158311128616333
1480,train/grad_norm,0.3458425998687744
1490,train/grad_norm,0.34421306848526
1500,train/grad_norm,0.3149634003639221
1510,train/grad_norm,0.23044100403785706
1520,train/grad_norm,0.47993043065071106
1530,train/grad_norm,0.36521846055984497
1540,train/grad_norm,0.2760676443576813
1550,train/grad_norm,0.4268534183502197
1560,train/grad_norm,0.2874433100223541
1570,train/grad_norm,0.5023536086082458
1580,train/grad_norm,0.664018452167511
1590,train/grad_norm,0.3670620322227478
1600,train/grad_norm,0.5474918484687805
1610,train/grad_norm,0.4030245542526245
1620,train/grad_norm,0.31541791558265686
1630,train/grad_norm,0.5124508142471313
1640,train/grad_norm,0.31782013177871704
1650,train/grad_norm,0.5100530982017517
1660,train/grad_norm,0.6078996658325195
1670,train/grad_norm,0.3834061324596405
1680,train/grad_norm,0.49119746685028076
1690,train/grad_norm,0.3806122839450836
1700,train/grad_norm,0.35259440541267395
1710,train/grad_norm,0.3425925076007843
1720,train/grad_norm,0.32297196984291077
1730,train/grad_norm,0.312518835067749
1740,train/grad_norm,0.7727994322776794
1750,train/grad_norm,0.9962697625160217
1760,train/grad_norm,0.41088804602622986
1770,train/grad_norm,0.40773507952690125
1780,train/grad_norm,0.6278847455978394
1790,train/grad_norm,0.2877678871154785
1800,train/grad_norm,0.38272732496261597
1810,train/grad_norm,0.2922053933143616
1820,train/grad_norm,0.25845491886138916
1830,train/grad_norm,0.43734994530677795
1840,train/grad_norm,0.2721139192581177
1850,train/grad_norm,0.4083400368690491
1860,train/grad_norm,0.7029954195022583
1870,train/grad_norm,0.37865525484085083
1880,train/grad_norm,0.9960849285125732
1890,train/grad_norm,0.34683534502983093
1900,train/grad_norm,0.3906550109386444
1910,train/grad_norm,0.8604134917259216
1920,train/grad_norm,0.2740921974182129
1930,train/grad_norm,0.6537673473358154
1940,train/grad_norm,0.383109450340271
1950,train/grad_norm,0.28594911098480225
1960,train/grad_norm,0.3990509808063507
1970,train/grad_norm,0.2457946091890335
1980,train/grad_norm,0.4030662477016449
1990,train/grad_norm,0.6627772450447083
2000,train/grad_norm,0.8250678181648254
2010,train/grad_norm,0.7522439956665039
2020,train/grad_norm,0.4889930188655853
